;country;alpha2;alpha3;numeric;latitude;longitude;penalty;population;jhu_ID;global_level;continent_level
1;CAIRANI;AF;AFG;4;-17.28591597;-70.36296805;1.1;38928000;CAIRANI;Region Tacna;Provincia de Candarave
2;CAMILACA;AL;ALB;8;-17.26859287;-70.38065365;0.9;2878000;CAMILACA;Region Tacna;Provincia de Candarave
3;CANDARAVE;DZ;DZA;12;-17.26935137;-70.25307563;1.3;43851000;CANDARAVE;Region Tacna;Provincia de Candarave
4;CURIBAYA;AD;AND;20;-17.38260122;-70.33368965;0.9;77000;CURIBAYA;Region Tacna;Provincia de Candarave
5;HUANUARA;AO;AGO;24;-17.31647744;-70.32348395;1.3;32866000;HUANUARA;Region Tacna;Provincia de Candarave
6;QUILAHUANI;AG;ATG;28;-17.31917945;-70.25738142;1.3;98000;QUILAHUANI;Region Tacna;Provincia de Candarave
7;ILABAYA;AR;ARG;32;-17.4207391;-70.5127463;1.1;45196000;ILABAYA;Region Tacna;Provincia de Jorge Basadre
8;ITE;AM;ARM;51;-17.8613525;-70.9649217;0.9;2963000;ITE;Region Tacna;Provincia de Jorge Basadre
9;LOCUMBA;AW;ABW;533;-17.6138491;-70.7623551;1.3;107000;LOCUMBA;Region Tacna;Provincia de Jorge Basadre
10;ALTO DE LA ALIANZA;AU;AUS;36;-17.8003418;-70.27118845;1.3;25500000;ALTO DE LA ALIANZA;Region Tacna;Provincia de Tacna
11;CALANA;AT;AUT;40;-17.9388968;-70.1862051;0.9;9006000;CALANA;Region Tacna;Provincia de Tacna
12;CIUDAD NUEVA;AZ;AZE;31;-17.9836975;-70.2355919;0.9;10139000;CIUDAD NUEVA;Region Tacna;Provincia de Tacna
13;CORONEL GREGORIO ALBARRACÍN LANCHIPA;BH;BHR;48;-18.047422;-70.2588039;1.3;1702000;CORONEL GREGORIO ALBARRACÍN LANCHIPA;Region Tacna;Provincia de Tacna
14;INCLÁN;BD;BGD;50;-17.6749065;-70.40861575;1.3;164689000;INCLÁN;Region Tacna;Provincia de Tacna
15;LA YARADA LOS PALOS;BB;BRB;52;-18.2115431;-70.45074405;1.3;287000;LA YARADA LOS PALOS;Region Tacna;Provincia de Tacna
16;PACHÍA;BY;BLR;112;-17.8969358;-70.1547383;0.8;9449000;PACHÍA;Region Tacna;Provincia de Tacna
17;PALCA;BE;BEL;56;-17.7779521;-69.959659;0.8;11590000;PALCA;Region Tacna;Provincia de Tacna
18;POCOLLAY;BZ;BLZ;84;-17.9964188;-70.2198735;1.3;398000;POCOLLAY;Region Tacna;Provincia de Tacna
19;SAMA;BJ;BEN;204;-17.98960935;-70.70695846;1.3;12123000;SAMA;Region Tacna;Provincia de Tacna
20;TACNA;BM;BMU;60;-18.0138521;-70.2511614;1.1;62000;TACNA;Region Tacna;Provincia de Tacna
21;ESTIQUE;BT;BTN;64;-17.5418348;-70.0184899;1.3;772000;ESTIQUE;Region Tacna;Provincia de Tarata
22;ESTIQUE PAMPA;BO;BOL;68;-17.5387569;-70.0316721;1.3;11673000;ESTIQUE PAMPA;Region Tacna;Provincia de Tarata
23;HÉROES ALBARRACÍN;BO;BOL;68;-17.48817035;-70.20988193;1.3;11673000;HÉROES ALBARRACÍN;Region Tacna;Provincia de Tarata
24;SITAJARA;BA;BIH;70;-17.3754321;-70.1339063;0.9;3281000;SITAJARA;Region Tacna;Provincia de Tarata
25;SUSAPAYA;BW;BWA;72;-17.3532192;-70.1326958;1.3;2352000;SUSAPAYA;Region Tacna;Provincia de Tarata
26;TARATA;BV;BVT;74;-17.4747154;-70.0320713;0.8;NA;TARATA;Region Tacna;Provincia de Tarata
27;TARUCACHI;BR;BRA;76;-17.5262592;-70.0289091;1.3;212559000;TARUCACHI;Region Tacna;Provincia de Tarata
28;TICACO;BN;BRN;96;-17.34353155;-69.97829503;1.3;437000;TICACO;Region Tacna;Provincia de Tarata
